Wavenumber (cm^-1),Transmittance (%)
1592.992000,63.345869
1594.921000,66.797283
1596.849000,67.927996
1598.778000,65.404164
1600.706000,60.498736
1602.635000,54.222857
1604.564000,48.057093
1606.492000,44.320566
1608.421000,44.018050
1610.349000,44.104226
1612.278000,41.673445
1614.206000,41.349618
1616.135000,50.151786
1618.063000,63.818531
1619.992000,73.732133
1621.921000,79.031696
1623.849000,81.389511
1625.778000,82.141213
1627.706000,82.206048
1629.635000,82.323135
1631.563000,83.119146
1633.492000,84.589693
1635.421000,86.174506
1637.349000,87.295563
1639.278000,88.127967
1641.206000,88.789255
1643.135000,89.250293
1645.063000,89.635311
1646.992000,89.717729
1648.921000,89.466564
1650.849000,89.435564
1652.778000,89.591247
1654.706000,89.169783
1656.635000,88.805571
1658.563000,88.746928
1660.492000,88.860907
1662.420000,89.062122
1664.349000,89.137420
1666.278000,89.247812
1668.206000,89.583416
1670.135000,89.834691
1672.063000,89.962520
1673.992000,90.354634
1675.920000,90.807705
1677.849000,91.178157
1679.777000,91.715511
1681.706000,92.345837
1683.635000,93.041795
1685.563000,93.229516
1687.492000,93.135901
1689.420000,93.073092
1691.349000,92.979047
1693.277000,93.113185
1695.206000,93.554788
1697.135000,93.768228
1699.063000,94.032857
1700.992000,94.036741
1702.920000,93.577856
1704.849000,93.220700
1706.777000,92.937586
1708.706000,92.955179
1710.635000,93.054648
1712.563000,93.044312
1714.492000,92.971573
1716.420000,92.934244
1718.349000,92.789990
1720.277000,92.593355
1722.206000,92.595626
1724.134000,92.625921
1726.063000,92.578023
1727.992000,92.541122
1729.920000,92.534327
1731.849000,92.613317
1733.777000,92.664447
1735.706000,92.233492
1737.634000,91.776259
1739.563000,91.476538
1741.491000,91.107498
1743.420000,90.816366
1745.349000,90.639082
1747.277000,90.624973
1749.206000,90.758130
1751.134000,90.952573
1753.063000,91.048788
1754.991000,91.180794
1756.920000,91.258211
1758.849000,91.151553
1760.777000,90.970715
1762.706000,90.629614
1764.634000,90.254462
1766.563000,90.079783
1768.491000,89.975913
1770.420000,89.916584
1772.349000,89.850353
1774.277000,89.568252
1776.206000,89.270252
1778.134000,88.971602
1780.063000,88.606063
1781.991000,88.124314
1783.920000,87.600876
1785.848000,87.098300
1787.777000,86.776300
1789.706000,86.841393
1791.634000,87.318567
1793.563000,88.034556
1795.491000,88.959383
1797.420000,90.052350
1799.348000,91.086916
1801.277000,91.918287
1803.205000,92.500751
1805.134000,92.909390
1807.063000,93.185449
1808.991000,93.382436
1810.920000,93.503259
1812.848000,93.555967
1814.777000,93.559754
1816.705000,93.508554
1818.634000,93.339633
1820.563000,93.068640
1822.491000,92.728900
1824.420000,92.370571
1826.348000,91.973946
1828.277000,91.708437
1830.205000,91.570400
1832.134000,91.467641
1834.063000,91.448699
1835.991000,91.429160
1837.920000,91.333197
1839.848000,91.140624
1841.777000,90.910658
1843.705000,90.658154
1845.634000,90.208778
1847.562000,89.686693
1849.491000,89.158596
1851.420000,88.647604
1853.348000,88.229661
1855.277000,87.957938
1857.205000,87.888846
1859.134000,88.060807
1861.062000,88.485663
1862.991000,89.111259
1864.919000,89.858946
1866.848000,90.600687
1868.777000,91.141034
1870.705000,91.355401
1872.634000,91.318525
1874.562000,91.044285
1876.491000,90.503637
1878.419000,89.752563
1880.348000,88.908968
1882.276000,88.155995
1884.205000,87.452142
1886.134000,86.581666
1888.062000,85.618929
1889.991000,84.823367
1891.919000,84.444263
1893.848000,84.580315
1895.776000,85.046284
1897.705000,85.632793
1899.634000,86.256901
1901.562000,86.935465
1903.491000,87.701778
1905.419000,88.606010
1907.348000,89.583418
1909.276000,90.419119
1911.205000,91.009878
1913.134000,91.428257
1915.062000,91.701164
1916.991000,91.817066
1918.919000,91.690470
1920.848000,91.349680
1922.776000,90.867305
1924.705000,90.279162
1926.633000,89.711000
1928.562000,89.210801
1930.491000,88.789721
1932.419000,88.485388
1934.348000,88.331365
1936.276000,88.333415
1938.205000,88.497801
1940.133000,88.846450
1942.062000,89.376983
1943.990000,90.021990
1945.919000,90.746257
1947.848000,91.484471
1949.776000,92.139459
1951.705000,92.659608
1953.633000,93.063982
1955.562000,93.438382
1957.490000,93.847600
1959.419000,94.248240
1961.348000,94.543194
1963.276000,94.712125
1965.205000,94.808405
1967.133000,94.882699
1969.062000,94.939386
1970.990000,94.996547
1972.919000,95.070743
1974.848000,95.158577
1976.776000,95.235819
1978.705000,95.292618
1980.633000,95.331615
1982.562000,95.363366
1984.490000,95.394352
1986.419000,95.422102
1988.347000,95.436220
1990.276000,95.425552
1992.205000,95.380600
1994.133000,95.258377
1996.062000,95.204499
1997.990000,95.339298
1999.919000,95.458912
2001.847000,95.560226
2003.776000,95.666122
2005.704000,95.760739
2007.633000,95.826357
2009.562000,95.867868
2011.490000,95.890362
2013.419000,95.914205
2015.347000,95.935199
2017.276000,95.940063
2019.204000,95.911190
2021.133000,95.859873
2023.062000,95.834601
2024.990000,95.905051
2026.919000,96.032700
2028.847000,96.121927
2030.776000,96.136417
2032.704000,96.100921
2034.633000,96.065764
2036.562000,96.082807
2038.490000,96.129462
2040.419000,96.167049
2042.347000,96.169197
2044.276000,96.140558
2046.204000,96.118979
2048.133000,96.157019
2050.062000,96.241078
2051.990000,96.328669
2053.918000,96.383892
2055.847000,96.410679
2057.776000,96.421313
2059.704000,96.424477
2061.633000,96.420074
2063.561000,96.409258
2065.490000,96.352946
2067.418000,96.273050
2069.347000,96.206711
2071.276000,96.086167
2073.204000,95.908063
2075.133000,95.784823
2077.061000,95.830665
2078.990000,95.966737
2080.918000,96.083337
2082.847000,96.162180
2084.776000,96.198070
2086.704000,96.196606
2088.633000,96.167056
2090.561000,96.114186
2092.490000,96.004743
2094.418000,95.808284
2096.347000,95.497959
2098.275000,95.150291
2100.204000,94.963845
2102.133000,95.056605
2104.061000,95.289672
2105.990000,95.501418
2107.918000,95.688743
2109.847000,95.862381
2111.775000,95.964247
2113.704000,95.990353
2115.633000,95.979526
2117.561000,96.004991
2119.490000,96.114841
2121.418000,96.256151
2123.347000,96.348325
2125.275000,96.392830
2127.204000,96.415183
2129.133000,96.438430
2131.061000,96.459825
2132.990000,96.467624
2134.918000,96.458479
2136.847000,96.434999
2138.775000,96.394850
2140.704000,96.348875
2142.632000,96.305249
2144.561000,96.257075
2146.490000,96.203417
2148.418000,96.156529
2150.347000,96.124340
2152.275000,96.104057
2154.204000,96.094106
2156.132000,96.113743
2158.061000,96.163792
2159.990000,96.222676
2161.918000,96.262895
2163.847000,96.271002
2165.775000,96.245867
2167.704000,96.202430
2169.632000,96.167689
2171.561000,96.165200
2173.490000,96.179060
2175.418000,96.198752
2177.346000,96.215850
2179.275000,96.224052
2181.204000,96.210249
2183.132000,96.174098
2185.061000,96.135969
2186.989000,96.111459
2188.918000,96.102114
2190.846000,96.092685
2192.775000,96.048196
2194.704000,95.937262
2196.632000,95.750787
2198.561000,95.560299
2200.489000,95.479701
2202.418000,95.483770
2204.346000,95.495048
2206.275000,95.511701
2208.204000,95.500947
2210.132000,95.493086
2212.061000,95.552809
2213.989000,95.678271
2215.918000,95.804838
2217.846000,95.900833
2219.775000,95.967071
2221.703000,96.007115
2223.632000,96.012352
2225.561000,95.991854
2227.489000,95.970291
2229.418000,95.978900
2231.346000,96.012469
2233.275000,96.046221
2235.203000,96.068845
2237.132000,96.095248
2239.061000,96.133178
2240.989000,96.170216
2242.918000,96.192920
2244.846000,96.199231
2246.775000,96.184059
2248.703000,96.153583
2250.632000,96.108575
2252.561000,96.050684
2254.489000,95.971418
2256.417000,95.863568
2258.346000,95.730434
2260.275000,95.582382
2262.203000,95.419009
2264.132000,95.295927
2266.060000,95.281929
2267.989000,95.323204
2269.917000,95.301437
2271.846000,95.175240
2273.775000,94.968881
2275.703000,94.720015
2277.632000,94.479999
2279.560000,94.331761
2281.489000,94.341525
2283.417000,94.508306
2285.346000,94.764187
2287.275000,95.014131
2289.203000,95.190980
2291.132000,95.280990
2293.060000,95.300393
2294.989000,95.260953
2296.917000,95.158163
2298.846000,94.981753
2300.774000,94.720218
2302.703000,94.500185
2304.632000,94.574181
2306.560000,94.942869
2308.489000,95.310992
2310.417000,95.509555
2312.346000,95.579301
2314.274000,95.615487
2316.203000,95.715107
2318.132000,95.927198
2320.060000,96.146753
2321.989000,96.225020
2323.917000,96.063428
2325.846000,95.775218
2327.774000,95.666878
2329.703000,95.752244
2331.632000,95.762898
2333.560000,95.639223
2335.489000,95.445112
2337.417000,95.134178
2339.346000,94.782264
2341.274000,94.738510
2343.203000,95.152907
2345.131000,95.583025
2347.060000,95.621348
2348.989000,95.694670
2350.917000,96.201741
2352.846000,96.775492
2354.774000,97.139515
2356.703000,97.341201
2358.631000,97.470863
2360.560000,97.545341
2362.489000,97.572731
2364.417000,97.538412
2366.346000,97.437129
2368.274000,97.267094
2370.203000,97.021316
2372.131000,96.710079
2374.060000,96.358575
2375.989000,96.008159
2377.917000,95.700373
2379.845000,95.453694
2381.774000,95.268935
2383.703000,95.123222
2385.631000,95.001007
2387.560000,94.891655
2389.488000,94.774934
2391.417000,94.642013
2393.345000,94.481831
2395.274000,94.283870
2397.203000,94.077095
2399.131000,93.923950
2401.060000,93.845929
2402.988000,93.812885
2404.917000,93.797067
2406.845000,93.810504
2408.774000,93.839285
2410.703000,93.846863
2412.631000,93.821679
2414.560000,93.781035
2416.488000,93.750046
2418.417000,93.739953
2420.345000,93.747972
2422.274000,93.784218
2424.202000,93.836822
2426.131000,93.853519
2428.060000,93.803951
2429.988000,93.742144
2431.917000,93.776491
2433.845000,93.928031
2435.774000,94.098147
2437.702000,94.213461
2439.631000,94.261640
2441.560000,94.241350
2443.488000,94.171186
2445.417000,94.111035
2447.345000,94.141907
2449.274000,94.277136
2451.202000,94.431139
2453.131000,94.529106
2455.060000,94.552904
2456.988000,94.511205
2458.917000,94.417416
2460.845000,94.332914
2462.774000,94.322829
2464.702000,94.376351
2466.631000,94.418351
2468.559000,94.395419
2470.488000,94.295446
2472.417000,94.162008
2474.345000,94.119077
2476.274000,94.243145
2478.202000,94.442799
2480.131000,94.615943
2482.059000,94.740772
2483.988000,94.828179
2485.917000,94.896495
2487.845000,94.956107
2489.774000,95.008452
2491.702000,95.064778
2493.631000,95.122507
2495.559000,95.180131
2497.488000,95.237520
2499.416000,95.290051
2501.345000,95.329203
2503.273000,95.358533
2505.202000,95.364903
2507.131000,95.352907
2509.059000,95.348431
2510.988000,95.390106
2512.916000,95.476724
2514.845000,95.575357
2516.773000,95.647951
2518.702000,95.694597
2520.631000,95.713315
2522.559000,95.696845
2524.488000,95.627000
2526.416000,95.480196
2528.345000,95.255985
2530.273000,95.025501
2532.202000,94.887423
2534.131000,94.872562
2536.059000,94.993699
2537.988000,95.218411
2539.916000,95.429445
2541.845000,95.561661
2543.773000,95.614560
2545.702000,95.625584
2547.630000,95.616480
2549.559000,95.584753
2551.488000,95.519775
2553.416000,95.403604
2555.345000,95.230799
2557.273000,95.069145
2559.202000,95.014827
2561.130000,95.056671
2563.059000,95.069835
2564.988000,95.000821
2566.916000,94.884005
2568.845000,94.767115
2570.773000,94.663213
2572.702000,94.513634
2574.630000,94.237943
2576.559000,93.829513
2578.487000,93.396803
2580.416000,93.149331
2582.344000,93.230319
2584.273000,93.533488
2586.202000,93.837217
2588.130000,94.060566
2590.059000,94.247843
2591.987000,94.406444
2593.916000,94.473766
2595.844000,94.488334
2597.773000,94.548909
2599.702000,94.658291
2601.630000,94.720624
2603.559000,94.713488
2605.487000,94.700746
2607.416000,94.758082
2609.344000,94.875645
2611.273000,94.998365
2613.202000,95.111835
2615.130000,95.199159
2617.059000,95.218466
2618.987000,95.174133
2620.916000,95.089976
2622.844000,94.999857
2624.773000,94.948782
2626.701000,94.975850
2628.630000,95.063557
2630.559000,95.153323
2632.487000,95.195592
2634.416000,95.173037
2636.344000,95.114533
2638.273000,95.103445
2640.201000,95.177374
2642.130000,95.275308
2644.059000,95.342367
2645.987000,95.373998
2647.916000,95.384859
2649.844000,95.376295
2651.773000,95.345978
2653.701000,95.310406
2655.630000,95.274832
2657.558000,95.243867
2659.487000,95.219843
2661.416000,95.210843
2663.344000,95.218510
2665.273000,95.242814
2667.201000,95.256131
2669.130000,95.237402
2671.058000,95.199626
2672.987000,95.159730
2674.916000,95.125351
2676.844000,95.092939
2678.773000,95.060414
2680.701000,95.037943
2682.630000,95.029956
2684.558000,95.025086
2686.487000,95.007415
2688.416000,94.962008
2690.344000,94.887401
2692.272000,94.793884
2694.201000,94.684661
2696.130000,94.563409
2698.058000,94.440427
2699.987000,94.314410
2701.915000,94.162348
2703.844000,93.971615
2705.772000,93.731831
2707.701000,93.442223
2709.630000,93.105707
2711.558000,92.726659
2713.487000,92.296353
2715.415000,91.770243
2717.344000,91.081711
2719.272000,90.191448
2721.201000,89.078232
2723.130000,87.637082
2725.058000,85.606541
2726.987000,82.821328
2728.915000,79.700897
2730.844000,77.557107
2732.772000,77.816483
2734.701000,80.453187
2736.629000,83.964595
2738.558000,86.982493
2740.487000,89.085961
2742.415000,90.429334
2744.344000,91.269672
2746.272000,91.788719
2748.201000,92.091749
2750.129000,92.254460
2752.058000,92.300051
2753.987000,92.235341
2755.915000,92.077420
2757.844000,91.860740
2759.772000,91.677403
2761.701000,91.633803
2763.629000,91.725450
2765.558000,91.878323
2767.487000,92.033324
2769.415000,92.161094
2771.344000,92.227981
2773.272000,92.216552
2775.201000,92.145273
2777.129000,92.029525
2779.058000,91.879167
2780.986000,91.711537
2782.915000,91.533058
2784.844000,91.315729
2786.772000,91.041099
2788.701000,90.747674
2790.629000,90.475941
2792.558000,90.232722
2794.486000,89.979039
2796.415000,89.673977
2798.344000,89.305174
2800.272000,88.877211
2802.201000,88.405568
2804.129000,87.925033
2806.058000,87.455956
2807.986000,86.979318
2809.915000,86.453026
2811.844000,85.857463
2813.772000,85.188313
2815.700000,84.464266
2817.629000,83.687915
2819.558000,82.862940
2821.486000,82.003831
2823.415000,81.141373
2825.343000,80.282783
2827.272000,79.354252
2829.200000,78.256190
2831.129000,76.928187
2833.058000,75.371247
2834.986000,73.645226
2836.915000,71.746232
2838.843000,69.591645
2840.772000,67.115959
2842.700000,64.259982
2844.629000,60.995149
2846.558000,57.366757
2848.486000,53.509957
2850.415000,49.578616
2852.343000,45.664026
2854.272000,41.912272
2856.200000,38.629466
2858.129000,36.070744
2860.057000,34.272304
2861.986000,33.136230
2863.915000,32.571586
2865.843000,32.498439
2867.772000,32.777430
2869.700000,33.248496
2871.629000,33.787161
2873.557000,34.355874
2875.486000,34.985066
2877.415000,35.666730
2879.343000,36.321954
2881.272000,36.862926
2883.200000,37.261497
2885.129000,37.523635
2887.057000,37.632875
2888.986000,37.588267
2890.915000,37.454319
2892.843000,37.297730
2894.771000,37.065222
2896.700000,36.592367
2898.629000,35.717084
2900.557000,34.373013
2902.486000,32.614160
2904.414000,30.515149
2906.343000,28.106185
2908.271000,25.384289
2910.200000,22.388366
2912.129000,19.257393
2914.057000,16.252123
2915.986000,13.681109
2917.914000,11.795528
2919.843000,10.739110
2921.771000,10.580778
2923.700000,11.329598
2925.629000,12.865548
2927.557000,14.845154
2929.486000,16.779488
2931.414000,18.218994
2933.343000,18.955393
2935.271000,19.043927
2937.200000,18.738201
2939.128000,18.400978
2941.057000,18.367870
2942.986000,18.787561
2944.914000,19.598124
2946.843000,20.643660
2948.771000,21.772480
2950.700000,22.884230
2952.628000,23.957395
2954.557000,24.995038
2956.486000,25.900581
2958.414000,26.479629
2960.343000,26.599030
2962.271000,26.269923
2964.200000,25.602820
2966.128000,24.770159
2968.057000,24.021521
2969.986000,23.641346
2971.914000,23.873236
2973.843000,24.807763
2975.771000,26.353797
2977.700000,28.273834
2979.628000,30.273247
2981.557000,32.100803
2983.485000,33.593295
2985.414000,34.632178
2987.343000,35.148856
2989.271000,35.202378
2991.200000,35.013135
2993.128000,34.742687
2995.057000,34.278412
2996.985000,33.503340
2998.914000,32.571466
3000.843000,31.660932
3002.771000,30.616948
3004.700000,29.064811
3006.628000,26.872032
3008.557000,24.302794
3010.485000,21.660102
3012.414000,19.111224
3014.343000,16.989183
3016.271000,15.801652
3018.199000,15.832887
3020.128000,16.888641
3022.057000,18.470145
3023.985000,20.113868
3025.914000,21.660366
3027.842000,23.157432
3029.771000,24.592326
3031.699000,25.901123
3033.628000,27.101792
3035.557000,28.245587
3037.485000,29.273975
3039.414000,30.067893
3041.342000,30.557886
3043.271000,30.760642
3045.199000,30.809262
3047.128000,30.980812
3049.057000,31.700609
3050.985000,33.251512
3052.914000,35.535023
3054.842000,38.163904
3056.771000,40.764967
3058.699000,43.112688
3060.628000,45.105843
3062.556000,46.782163
3064.485000,48.365090
3066.414000,50.178503
3068.342000,52.467334
3070.271000,55.134076
3072.199000,57.717286
