# HCl spectrum
# xmin= 2650 cm^-1
# xmax= 3100 cm^-1

Wavenumber, Absorbance
2727.88, 0.0599
2728, 0.0505
2728.12, 0.0374
2728.25, 0.0281
2728.38, 0.0244
2728.5, 0.0238
2728.62, 0.024
2728.75, 0.0241
2728.88, 0.0238
2729, 0.0231
2729.12, 0.0227
2729.25, 0.0232
2729.38, 0.0241
2729.5, 0.024
2729.62, 0.0231
2729.75, 0.0224
2729.88, 0.0226
2730, 0.0229
2730.12, 0.0225
2730.25, 0.0219
2730.38, 0.0219
2730.5, 0.0225
2730.62, 0.0233
2730.75, 0.0238
2730.88, 0.0238
2731, 0.0235
2731.12, 0.0235
2731.25, 0.024
2731.38, 0.0246
2731.5, 0.0244
2731.62, 0.0235
2731.75, 0.0227
2731.88, 0.0227
2732, 0.0232
2732.12, 0.0232
2732.25, 0.0228
2732.38, 0.0225
2732.5, 0.0229
2732.62, 0.0235
2732.75, 0.0238
2732.88, 0.0232
2733, 0.0224
2733.12, 0.022
2733.25, 0.0223
2733.38, 0.0228
2733.5, 0.0228
2733.62, 0.0223
2733.75, 0.0219
2733.88, 0.0224
2734, 0.0234
2734.12, 0.0242
2734.25, 0.0242
2734.38, 0.0237
2734.5, 0.0235
2734.62, 0.0237
2734.75, 0.0238
2734.88, 0.0234
2735, 0.0225
2735.12, 0.0219
2735.25, 0.0222
2735.38, 0.023
2735.5, 0.0231
2735.62, 0.0224
2735.75, 0.0221
2735.88, 0.0228
2736, 0.024
2736.12, 0.0243
2736.25, 0.0235
2736.38, 0.0223
2736.5, 0.0217
2736.62, 0.0222
2736.75, 0.0232
2736.88, 0.0239
2737, 0.0238
2737.12, 0.0232
2737.25, 0.023
2737.38, 0.0234
2737.5, 0.0239
2737.62, 0.0236
2737.75, 0.023
2737.88, 0.0227
2738, 0.023
2738.12, 0.0235
2738.25, 0.0232
2738.38, 0.0222
2738.5, 0.0212
2738.62, 0.0211
2738.75, 0.022
2738.88, 0.0228
2739, 0.0225
2739.12, 0.0218
2739.25, 0.0217
2739.38, 0.0225
2739.5, 0.0233
2739.62, 0.0232
2739.75, 0.0226
2739.88, 0.0225
2740, 0.023
2740.12, 0.0235
2740.25, 0.0235
2740.38, 0.0231
2740.5, 0.0224
2740.62, 0.0219
2740.75, 0.022
2740.88, 0.0227
2741, 0.0232
2741.12, 0.023
2741.25, 0.0226
2741.38, 0.0229
2741.5, 0.0237
2741.62, 0.0241
2741.75, 0.0235
2741.88, 0.0226
2742, 0.0226
2742.12, 0.0233
2742.25, 0.024
